tourney_slug,singles_winner_player_slug,tourney_round_name,winner_slug,loser_slug,year,ranking_points_winner,rank_number_winner,ranking_points_norm_winner,ranking_points_loser,rank_number_loser,ranking_points_norm_loser,avg_ranking_round_norm_loser,std_ranking_round_norm_loser,rounds_weights,diff_rank_mean,diff_rank_mean_weighted
roland-garros,gustavo-kuerten,Round of 32,gustavo-kuerten,michael-chang,2000,2382.0,5.0,4578.634321408154,924,33,1776.0949256847755,1426.5772943695285,530.5348443151503,0.5,1.2450043419972663,0.6225021709986331
roland-garros,gustavo-kuerten,Round of 64,gustavo-kuerten,marcelo-charpentier,2000,2382.0,5.0,4578.634321408154,151,230,290.24927898095353,931.8295297386652,414.8687942994836,0.25,0.3114832377788617,0.07787080944471543
roland-garros,gustavo-kuerten,Round of 128,gustavo-kuerten,andreas-vinciguerra,2000,2382.0,5.0,4578.634321408154,760,53,1460.8572981822829,896.583354269583,380.32793217071907,0.25,1.6293602722218676,0.4073400680554669
wimbledon,pete-sampras,Finals,pete-sampras,patrick-rafter,2000,3261.0,3.0,6268.2311175952955,1165,21,2239.340463661,6669.908109750534,3759.480494370115,1.0,0.33573782828992454,0.33573782828992454
wimbledon,pete-sampras,Semi-Finals,pete-sampras,vladimir-voltchkov,2000,3261.0,3.0,6268.2311175952955,140,237,269.10529177042054,4792.697779685571,3119.979544662478,1.0,0.056149021728650585,0.056149021728650585
wimbledon,pete-sampras,Quarter-Finals,pete-sampras,jan-michael-gambill,2000,3261.0,3.0,6268.2311175952955,707,56,1358.981723440624,3169.480598413816,1932.2877945875562,1.0,0.42877111288226016,0.42877111288226016
wimbledon,pete-sampras,Round of 16,pete-sampras,jonas-bjorkman,2000,3261.0,3.0,6268.2311175952955,541,78,1039.899734627125,1960.9359917208542,1005.7004458994704,0.5,0.5303078422843076,0.2651539211421538
wimbledon,pete-sampras,Round of 32,pete-sampras,justin-gimelstob,2000,3261.0,3.0,6268.2311175952955,403,99,774.6388041677105,1426.5772943695285,530.5348443151503,0.5,0.5430051405031368,0.2715025702515684
wimbledon,pete-sampras,Round of 64,pete-sampras,karol-kucera,2000,3261.0,3.0,6268.2311175952955,809,44,1555.0441503019301,931.8295297386652,414.8687942994836,0.25,1.6688075454509879,0.41720188636274697
wimbledon,pete-sampras,Round of 128,pete-sampras,jiri-vanek,2000,3261.0,3.0,6268.2311175952955,515,80,989.9230375840469,896.583354269583,380.32793217071907,0.25,1.1041059739398182,0.27602649348495456
us-open,marat-safin,Finals,marat-safin,pete-sampras,2000,2442.0,7.0,4693.965160738335,3039,4,5841.507012073628,6669.908109750534,3759.480494370115,1.0,0.8758002233245324,0.8758002233245324
